product_id,brand,product_line,product_class,product_size
146,2,2,2,2
147,2,2,2,2
148,2,2,2,2
149,2,2,2,2
150,2,2,2,2
151,2,2,2,2
152,2,2,2,2
153,2,2,2,2
154,2,2,2,2
155,2,2,2,2
156,2,2,2,2
157,2,2,2,2
158,2,2,2,2
159,2,2,2,2
160,2,2,2,2
161,2,2,2,2
162,2,2,2,2
163,2,2,2,2
164,2,2,2,2
165,2,2,2,2
166,2,2,2,2
167,2,2,2,2
168,2,2,2,2
169,2,2,2,2
170,2,2,2,2
171,2,2,2,2
172,2,2,2,2
173,2,2,2,2
174,2,2,2,2
175,2,2,2,2
176,2,2,2,2
177,2,2,2,2
178,2,2,2,2
179,2,2,2,2
180,2,2,2,2
181,2,2,2,2
182,2,2,2,2
183,2,2,2,2
184,2,2,2,2
185,2,2,2,2
186,2,2,2,2
187,2,2,2,2
188,2,2,2,2
189,2,2,2,2
190,2,2,2,2
191,2,2,2,2
192,2,2,2,2
193,2,2,2,2
194,2,2,2,2
195,2,2,2,2
196,2,2,2,2
197,2,2,2,2
198,2,2,2,2
199,2,2,2,2
200,2,2,2,2
201,2,2,2,2
202,2,2,2,2
203,2,2,2,2
204,2,2,2,2
205,2,2,2,2
206,2,2,2,2
207,2,2,2,2
208,2,2,2,2
209,2,2,2,2
210,2,2,2,2
211,2,2,2,2
212,2,2,2,2
213,2,2,2,2
214,2,2,2,2
215,2,2,2,2
216,2,2,2,2
217,2,2,2,2
218,2,2,2,2
219,2,2,2,2
220,2,2,2,2
221,2,2,2,2
222,2,2,2,2
223,2,2,2,2
224,2,2,2,2
225,2,2,2,2
226,2,2,2,2
227,2,2,2,2
228,2,2,2,2
229,2,2,2,2
230,2,2,2,2
231,2,2,2,2
232,2,2,2,2
233,2,2,2,2
234,2,2,2,2
235,2,2,2,2
236,2,2,2,2
237,2,2,2,2
238,2,2,2,2
239,2,2,2,2
240,2,2,2,2
241,2,2,2,2
242,2,2,2,2
243,2,2,2,2
244,2,2,2,2
245,2,2,2,2
246,2,2,2,2
247,2,2,2,2
248,2,2,2,2
249,2,2,2,2
250,2,2,2,2
251,2,2,2,2
252,2,2,2,2
253,2,2,2,2
254,2,2,2,2
255,2,2,2,2
256,2,2,2,2
257,2,2,2,2
258,2,2,2,2
259,2,2,2,2
260,2,2,2,2
261,2,2,2,2
262,2,2,2,2
263,2,2,2,2
264,2,2,2,2
265,2,2,2,2
266,2,2,2,2
267,2,2,2,2
268,2,2,2,2
269,2,2,2,2
270,2,2,2,2
271,2,2,2,2
272,2,2,2,2
273,2,2,2,2
274,2,2,2,2
275,2,2,2,2
276,2,2,2,2
277,2,2,2,2
278,2,2,2,2
279,2,2,2,2
280,2,2,2,2
281,2,2,2,2
282,2,2,2,2
283,2,2,2,2
284,2,2,2,2
285,2,2,2,2
286,2,2,2,2
287,2,2,2,2
288,2,2,2,2
289,2,2,2,2
290,2,2,2,2
291,2,2,2,2
292,2,2,2,2
293,2,2,2,2
294,2,2,2,2
295,2,2,2,2
296,2,2,2,2
